"id";"job_title";"job_salary";"job_requirement";"job_addr";"job_exp";"job_edu";"job_tags";"company_name";"company_employee_num";"company_type"
69;"Python开发工程师";"15K-30K";"职位描述：";"深圳 南山区 科技园";"1-3年";"本科";"Golang";"Shopee";"1000-9999人";"电子商务"
70;"Python";"10K-15K";"python实际开发经验";"深圳";"1-3年";"本科";"Python";"软通动力信息技术集团";"10000人以上";"计算机软件"
71;"python后台开发";"20K-40K";"工作职责：";"深圳 南山区";"经验不限";"本科";"MYSQL";"凌扬盛达";"20-99人";"数据服务"
72;"python开发工程师";"15K-25K";"岗位职责：";"深圳 南山区";"3-5年";"本科";"数据库";"智国互联";"20-99人";"互联网"
73;"Python开发";"15K-30K";"职位描述";"深圳 南山区 科技园";"3-5年";"本科";"Twisted";"藤讯科技";"100-499人";"移动互联网"
74;"Python";"15K-25K";"岗位职责：";"深圳 南山区 科技园";"5-10年";"本科";"后端开发";"Webot";"20-99人";"企业服务"
75;"python爬虫";"10K-20K";"熟悉掌握python语言，熟悉Docker和ETL，熟悉能独立完成项目。";"深圳 南山区 科技园";"经验不限";"本科";"python爬虫";"汇金智融";"100-499人";"互联网"
76;"Python";"15K-30K";"Python机器学习讲师";"深圳";"1年以内";"本科";"数据库";"百战程序员";"20-99人";"计算机软件"
77;"后台开发（4人）java/python";"8K-15K";"后台开发（4人）最少要16年之前毕业的";"深圳 南山区 科技园";"1-3年";"本科";"Java";"汇金智融";"100-499人";"互联网"
78;"python高级开发工程师";"18K-30K";"岗位职责：";"深圳 福田区 车公庙";"5-10年";"本科";"Python";"智国互联";"20-99人";"互联网"
79;"资深后台开发工程师Python/Golang";"20K-40K";"1、设计和开发支撑今日头条公司运行的核心系统，包括企业协同办公工具、智能便捷高效的服务系统、合同管理系统、审批流等等；";"深圳 南山区 后海";"3-5年";"本科";"Python";"今日头条";"10000人以上";"移动互联网"
80;"python开发高级工程师";"15K-30K";"工作职责：";"深圳 南山区 科技园";"3-5年";"本科";"Python";"巅峰电竞";"20-99人";"游戏"
81;"Python开发工程师（高级）";"30K-50K";"职位描述：";"深圳 南山区 科技园";"3-5年";"本科";"Golang";"Shopee";"1000-9999人";"电子商务"
82;"python 软件工程师";"6K-10K";"Web开发人员需要具备丰富的Web前端或后端知识， 时刻具备紧迫感，需要快速交付高质量的代码，不断创造新的Web产品和优化现有的产品和服务。";"深圳 福田区 华强北";"经验不限";"本科";"Python";"超体大数据(深圳)";"0-20人";"数据服务"
83;"Python";"8K-10K";"岗位职责";"深圳 龙华区 滢水山庄";"经验不限";"大专";"后端开发";"本识";"0-20人";"分类信息"
84;"Python开发";"20K-30K";"深圳港交所的新需求：";"深圳 南山区 科技园";"5-10年";"本科";"Python";"亿达信息";"1000-9999人";"计算机软件"
85;"Python";"10K-20K";"Python全栈工程师";"深圳 龙华区 观澜";"3-5年";"大专";"Python";"尚亿源";"20-99人";"智能硬件"
86;"python开发";"6K-10K";"岗位描述：";"深圳 罗湖区 东湖";"1-3年";"大专";"HTML/CSS";"掌世界";"100-499人";"游戏"
87;"python开发工程师";"15K-30K";"工作职责：1、推进微服务治理，实现服务容器化；";"深圳 南山区 深圳湾";"3-5年";"本科";"Python";"数位科技";"100-499人";"互联网"
88;"Python";"15K-30K";"华为2012实验室招聘技术人员和技术专家，技术面向云、AI、大数据等前沿领域，无论你是初级开发，高级开发还是架构师这里均有你的位置。待遇灵活可谈。有意愿的请联系我（邮箱：*****），需要12月底前能入职！";"深圳";"5-10年";"本科";"Java";"华为技术有限公司";"10000人以上";"计算机软件"
89;"Python";"9K-18K";"1.会python web端开发";"深圳 龙岗区";"3-5年";"本科";"Python";"软通动力";"10000人以上";"计算机软件"
90;"python";"10K-15K";". 精通python语言，至少精通 Django、Tornado 等框架中的一种";"深圳 福田区 石厦";"3-5年";"不限";"Python";"鹏开信息";"100-499人";"计算机软件"
91;"Python工程师";"15K-30K";"1.2年及以上工作经验，其中一年算法项目工作经验；2.熟悉Python脚本编程；；";"深圳";"1-3年";"大专";"数据挖据";"SIE";"1000-9999人";"计算机软件"
92;"Python";"15K-30K";"工作内容：";"深圳 南山区";"3-5年";"本科";"Python";"糗事百科";"20-99人";"音乐/视频/阅读"
93;"Python/shell脚本开发";"9K-15K";"1.熟练掌握Linux基本命令和常用操作";"深圳 龙岗区 坂田";"1-3年";"本科";"Linux";"中软国际";"1000-9999人";"计算机软件"
94;"python资深开发";"15K-25K";"1，有3个以上的爬虫案例，能现场展示；";"深圳 宝安区 龙华";"3-5年";"大专";"网络爬虫";"永顺智";"20-99人";"智能硬件"
95;"python 实习生";"2K-4K";"python实习生";"深圳 宝安区 西乡";"应届生";"本科";"Python";"众米";"0-20人";"互联网"
96;"Python交易开发工程师";"14K-20K";"技能Skill:";"深圳 南山区 科技园";"3-5年";"本科";"Python";"Gateway Technology";"100-499人";"互联网金融"
97;"Python高级开发工程师";"20K-35K";"职位描述";"深圳 南山区 科技园";"3-5年";"本科";"Python";"藤讯科技";"100-499人";"移动互联网"
98;"Python爬虫实习生";"3K-6K";"工作职责：";"深圳 南山区 科技园";"应届生";"本科";"python爬虫";"比特穿越";"0-20人";"数据服务"
99;"Python";"10K-20K";"岗位职责：";"深圳 南山区 深圳湾";"3-5年";"本科";"数据库";"国信泰九";"500-999人";"互联网金融"
100;"Python讲师";"15K-25K";"一：岗位职责：";"深圳 南山区 西丽";"1-3年";"大专";"django";"千锋教育";"1000-9999人";"互联网"
101;"Python";"10K-20K";"负责数据爬取。分析整理。会word文档数据导入数据库";"深圳 龙岗区 坂田";"1年以内";"本科";"python爬虫";"深圳德鹏教育";"20-99人";"在线教育"
102;"Python金融分析周末班兼职讲师";"15K-30K";"岗位职责：";"深圳 南山区 大冲";"3-5年";"本科";"Python";"泽林信息";"100-499人";"在线教育"
103;"Python";"10K-20K";"985,211学校，理工科专业，数学或计算机专业优先，对算法，AI了解";"深圳 福田区 华强北";"应届生";"本科";"后端开发";"深圳坐标软件";"500-999人";"医疗健康"
104;"高级Python工程师/面向对象";"15K-30K";"工作内容：";"深圳 南山区 科技园";"1年以内";"本科";"Python";"AKULAKU";"100-499人";"互联网金融"
105;"python开发工程师";"9K-13K";"1、两年以上python web项目开发经验；";"深圳";"1-3年";"大专";"Python";"深圳雁联";"1000-9999人";"互联网"
106;"Python";"15K-20K";"Django，bootstrap 后台开发";"深圳 南山区";"1年以内";"本科";"Python";"荔枝微课";"20-99人";"互联网"
107;"Python";"9K-15K";"数据爬取。数据分析。数据挖掘";"深圳 龙岗区 坂田";"1-3年";"本科";"数据挖掘";"深圳德鹏教育";"20-99人";"在线教育"
108;"Python";"10K-20K";"【岗位职责】";"深圳 南山区 华侨城";"经验不限";"本科";"Python";"小赢理财";"500-999人";"互联网"
109;"Python";"10K-20K";"负责题库数据的爬取清洗。入库。自动校对。本地word文档解释存入数据库。";"深圳 龙岗区 坂田";"1-3年";"本科";"python爬虫";"深圳德鹏教育";"20-99人";"在线教育"
110;"python讲师";"15K-25K";"一：岗位职责：";"深圳 南山区 西丽";"3-5年";"本科";"Python";"千锋互联";"500-999人";"在线教育"
111;"python开发";"13K-14K";"1.至少2年以上云计算开发经验，熟悉C或python语言经验者优先";"深圳 南山区";"1-3年";"大专";"云计算";"同方鼎欣";"1000-9999人";"计算机软件"
112;"Python";"10K-15K";"开发/测试基础、经验：";"深圳 南山区 科技园";"3-5年";"本科";"Python";"亿达信息";"1000-9999人";"计算机软件"
113;"Python/C/C++";"10K-20K";"本科以上学历1-2年开发经验";"深圳 南山区";"1-3年";"本科";"C/C++";"同方鼎欣";"1000-9999人";"互联网"
